variable_type,elasticity,elasticity_se,ols_coef,ppml_coef,diff_elast_minus_ols,se_diff_elast_minus_ols,test_elast_vs_ols_stat,test_elast_vs_ols_p,diff_elast_minus_ppml,se_diff_elast_minus_ppml,test_elast_vs_ppml_stat,test_elast_vs_ppml_p,diff_ols_minus_ppml,se_diff_ols_minus_ppml,test_ols_vs_ppml_stat,test_ols_vs_ppml_p,nobs,time,paper,panel
continuous,-0.0327055897436751,0.0036451187145162,-0.0285625450298708,-0.1137427069492713,-0.0041430447138042,0.001052854593566,15.484687611987834,8.31763364110838e-05,0.0810371172055962,0.0078780868369072,105.80993295124534,0.0,0.0851801619194004,0.0078299776905764,118.34662391255544,0.0,60600,2026-01-11 21:09:59,11,result_table_2_A1_1
binary,0.4685396253408388,0.0467913996540082,0.4946169573316175,0.3678159714511022,-0.0260773319907786,0.0396402132327039,0.4327672105009042,0.5106342348037013,0.1007236538897365,0.0336632694524957,8.952624254413484,0.0027707127656098,0.1268009858805152,0.0530303447548489,5.717370801304803,0.0167978660045136,35177,2026-01-11 21:14:44,4,result_table_3_B_1
binary,0.2307097629695045,0.0528710536141358,0.2500410973234485,0.083890025557402,-0.0193313343539439,0.0397203829299223,0.2368627741336751,0.6264812236702599,0.1468197374121025,0.0351581113148142,17.438848803897976,2.9669967029688493e-05,0.1661510717660465,0.0319797542740568,26.993304221942523,2.041614666214997e-07,17716,2026-01-11 21:17:54,4,result_table_3_B_2
continuous,-0.0127122807749399,0.021823514640217,0.0221770723333353,0.0183840702207727,-0.0348893531082753,0.0208451133178762,2.8014141218456494,0.094181207560998,-0.0310963509957126,0.0201652489518341,2.3779990861394755,0.1230550714379683,0.0037930021125626,0.0027071756576797,1.9630587469123613,0.1611865684430641,351,2026-01-11 21:18:52,23,result_table_3_2
binary,-0.0830094119587864,0.0257437107082677,-0.0900625387300684,-0.1228153128187514,0.007053126771282,0.0305119142982073,0.0534348344154884,0.8171906906609858,0.039805900859965,0.0213392082684851,3.4796720105348347,0.0621270524368421,0.032752774088683,0.0324216170746132,1.020532488897214,0.3123927345851774,5014,2026-01-11 21:22:07,14,result_table_5_2
binary,0.0646060767365076,0.0279283143957402,0.0862705977152276,0.0509203022215786,-0.02166452097872,0.0157501405909156,1.8920356366028424,0.1689725006113077,0.013685774514929,0.0249472488639373,0.3009493723060753,0.5832878608946446,0.035350295493649,0.0258283758934523,1.8732334326160496,0.1711052094680255,3011,2026-01-11 21:31:02,34,result_table_5_A_1
continuous,-0.049359492208478,0.0159485641593974,-0.0491894364928382,-0.0504023597247864,-0.0001700557156398,0.0041928141983798,0.0016450201873717,0.9676475913239314,0.0010428675163083,0.0153835632109597,0.0045956230536741,0.9459519884391008,0.0012129232319482,0.0178387684770125,0.004623138358998,0.9457906779220951,1061,2026-01-11 21:38:30,36,result_table_4_5
continuous,0.065940399628503,0.003930420232499,0.0702880814260979,0.0169849039227621,-0.0043476817975948,0.0025858849966783,2.8268130608964226,0.0927021539166487,0.0489554957057408,0.003979018987449,151.37385870121724,0.0,0.0533031775033357,0.0059813606658862,79.41567233293682,0.0,44406,2026-01-11 21:45:26,51,result_table_3_2
continuous,-0.0767331397687795,0.0073134081309183,-0.0614392210128338,-0.0513589156724324,-0.0152939187559456,0.006250128423269,5.987695073856531,0.0144060143218575,-0.0253742240963471,0.0074026866418539,11.74915978955396,0.0006087071066344,-0.0100803053404014,0.0108769607777599,0.858879525563034,0.3540524384232493,44406,2026-01-11 21:51:25,51,result_table_3_4
continuous,0.6027668665539608,0.0492151796134161,0.5800024573255999,-0.1314861005937789,0.0227644092283609,0.0057110029638432,15.888686543936132,6.71790968047592e-05,0.7342529671477398,0.0528052859562212,193.34663712929915,0.0,0.7114885579193788,0.0534745044571629,177.02813864146793,0.0,21856,2026-01-11 21:55:31,51,result_table_4_3
continuous,-4.628565887824572,0.0856481918709052,-4.899425809113789,-4.777195853125919,0.2708599212892171,0.1120659033900622,5.841743755414505,0.0156503089442927,0.1486299653013469,0.085313030536697,3.035162961678997,0.0814783677611803,-0.1222299559878701,0.06290412371714,3.7756964982450247,0.0520022465509327,3023,2026-01-11 22:06:35,55,result_table_1_A_1
continuous,0.208932296911083,0.0526474645307087,0.0801728940791756,0.0549740952798815,0.1287594028319073,0.0496825415838343,6.716612574981473,0.0095518881309143,0.1539582016312014,0.0500315083897938,9.469312867396658,0.002089376210116,0.0251987987992941,0.0180420062447981,1.9506979169158547,0.1625116633829511,3523,2026-01-11 22:10:02,58,result_table_3_B_3
