variable_type,elasticity,elasticity_se,ols_coef,ppml_coef,diff_elast_minus_ols,se_diff_elast_minus_ols,test_elast_vs_ols_stat,test_elast_vs_ols_p,diff_elast_minus_ppml,se_diff_elast_minus_ppml,test_elast_vs_ppml_stat,test_elast_vs_ppml_p,diff_ols_minus_ppml,se_diff_ols_minus_ppml,test_ols_vs_ppml_stat,test_ols_vs_ppml_p,nobs,time,paper,panel
continuous,-0.0286133236791813,0.003617124688675,-0.0285625450298708,-0.1137427069492713,-5.077864931049905e-05,0.0001185909744062,0.1833407545406099,0.6685178300629584,0.0851293832700899,0.0078339313342254,118.08628314962912,0.0,0.0851801619194004,0.0078299776905764,118.34662391255544,0.0,60600,2026-03-25 11:44:28,11,result_table_2_A1_1
binary,1.2539483595149423,0.7023445226262294,0.4946169573316175,0.3678159714511022,0.7593314021833248,0.7013325662738079,1.1722350683295997,0.278942469677279,0.8861323880638401,0.6992399023877586,1.605997310045437,0.2050553709146059,0.1268009858805152,0.0530303447548489,5.717370801304803,0.0167978660045136,35177,2026-03-25 11:47:08,4,result_table_3_B_1
binary,0.0325541016570551,0.0968707498750877,0.2500410973234485,0.083890025557402,-0.2174869956663933,0.0920124969570773,5.58692646605591,0.0180950197760532,-0.0513359239003468,0.0884727077859065,0.3366852775203587,0.5617488201833247,0.1661510717660465,0.0319797542740568,26.993304221942527,2.041614666214997e-07,17716,2026-03-25 11:49:13,4,result_table_3_B_2
continuous,-2.5869542135199164,2.580413490904054,0.0221770723333353,0.0183840702207727,-2.609131285853252,2.5804219498447147,1.0223754441451445,0.3119562090688281,-2.6053382837406893,2.580422269408268,1.0194048133318314,0.3126602307003984,0.0037930021125626,0.0027071756576797,1.9630587469123613,0.1611865684430641,351,2026-03-25 11:49:55,23,result_table_3_2
binary,-0.0773515275390957,0.0270514445367273,-0.0900625387300684,-0.1228153128187514,0.0127110111909726,0.0100202496813376,1.6091744027826085,0.2046078944569176,0.0454637852796556,0.0292817266033682,2.4106703205591846,0.1205107534158651,0.032752774088683,0.0324216170746132,1.0205324888972136,0.3123927345851776,5014,2026-03-25 11:51:31,14,result_table_5_2
binary,0.0668915189685887,0.0280670534128787,0.0862705977152276,0.0509203022215786,-0.0193790787466389,0.015994122041115,1.4680655377736989,0.2256511564316125,0.01597121674701,0.02502552678769,0.4072954428233309,0.5233454335072645,0.035350295493649,0.0258283758934523,1.8732334326160496,0.1711052094680255,3011,2026-03-25 11:58:52,34,result_table_5_A_1
binary,-3.445288793721432e+29,2.8212283147258412e-30,0.0641039769541128,0.0481958623619079,-3.445288793721432e+29,0.985897879968029,1.2212016928010436e+59,0.0,-3.445288793721432e+29,2.8212283147258412e-30,1.4913335745001347e+118,0.0,0.0159081145922048,0.985897879968029,0.0002603595762151,0.9871261633478448,2977,2026-03-25 12:03:59,34,result_table_5_B_1
continuous,-0.0428420203563591,0.0156015082704658,-0.0491894364928382,-0.0504023597247864,0.006347416136479,0.0044042971727744,2.077020169844464,0.1495318403535273,0.0075603393684273,0.0151107237145726,0.2503295110704138,0.6168431541128081,0.0012129232319482,0.0178387684770125,0.004623138358998,0.9457906779220951,1061,2026-03-25 12:05:05,36,result_table_4_5
continuous,0.0754879947980613,0.0055447814691789,0.0702880814260979,0.0169849039227621,0.0051999133719634,0.0006646317827473,61.21107493221641,5.10702591327572e-15,0.0585030908752991,0.0055735480860543,110.1778056465817,0.0,0.0533031775033357,0.0059813606658862,79.41567233293682,0.0,44406,2026-03-25 12:15:27,51,result_table_3_2
continuous,-0.0291721225237282,0.038732740059087,-0.0614392210128338,-0.0513589156724324,0.0322670984891056,0.0376738611709039,0.7335666236160157,0.3917295442403785,0.0221867931487041,0.0387584480344447,0.3276848110967678,0.5670255458398068,-0.0100803053404014,0.0108769607777599,0.8588795255630348,0.354052438423249,44406,2026-03-25 12:23:06,51,result_table_3_4
