province,district,distid,year,nomincome,area_total,realincome,RAIL_prop,RAIL_rec,RAIL_sur,RAIL,RAIL_KHi,RAIL_KLo,RAIL_L6973,RAIL_L7478,RAIL_L7983,RAIL_L8488,RAIL_L8993,RAIL_L9498,ln_realincome
bengal,khulna,61014,1890,28750540.84375,782158.38,28750540,0,0,0,1,0,0,0,0,0,0,0,0,17.174168
bengal,khulna,61014,1891,29506716.84375,782308.88,28938510,0,0,0,1,0,0,0,0,0,0,0,0,17.180683
bengal,khulna,61014,1892,29395595.5625,676962.13,24475778,0,0,0,1,0,0,0,0,0,0,0,0,17.013195
bengal,khulna,61014,1893,27848425.09765625,688300,23004888,0,0,0,1,0,0,0,0,0,0,0,0,16.951218
bengal,khulna,61014,1894,29658068.51782227,818700,26061202,0,0,0,1,0,0,0,0,0,0,0,0,17.075958
bengal,khulna,61014,1895,25275177.14282227,826700,26157814,0,0,0,1,0,0,0,0,0,0,0,0,17.079659
bengal,khulna,61014,1896,26998762.421875,750200,22982624,1,0,0,1,0,0,0,0,0,0,0,0,16.950249
bengal,khulna,61014,1897,40528424.20507813,888800,26311674,1,0,0,1,0,0,0,0,0,0,0,0,17.085524
bengal,khulna,61014,1898,29460564.87280273,903800,25869168,1,0,0,1,0,0,0,0,0,0,0,0,17.068562
bengal,khulna,61014,1899,22219359.53759766,848200,23817854,1,0,0,1,0,0,0,0,0,0,0,0,16.985947
bengal,khulna,61014,1901,22916051.99414063,843500,22138444,1,0,0,1,0,0,0,0,0,0,0,0,16.912827
bengal,khulna,61014,1902,24369312.6484375,849000,22355474,1,0,0,1,0,0,0,0,0,0,0,0,16.922583
bengal,khulna,61014,1903,23027995.98974609,802300,19849506,1,0,0,1,0,0,0,0,0,0,0,0,16.80369
bengal,khulna,61014,1904,23557253.62817383,835300,19324330,1,0,0,1,0,0,0,0,0,0,0,0,16.776875
bengal,khulna,61014,1905,27647960.14941406,801200,18309508,1,0,0,1,0,0,0,0,0,0,0,0,16.722931
bengal,khulna,61014,1906,35141058.63232422,757600,18711598,1,0,0,1,0,0,0,0,0,0,0,0,16.744654
bengal,khulna,61014,1907,31385320.58422852,769900,15803233,1,0,0,1,0,0,0,0,0,0,0,0,16.575726
bengal,khulna,61014,1908,34937211.76916504,824000,21604576,1,0,0,1,0,0,0,0,0,0,0,0,16.888416
bengal,khulna,61014,1909,33716098.16992188,823900,24306468,1,0,0,1,0,0,0,0,0,0,0,0,17.006252
bengal,khulna,61014,1910,33102535.95507813,821800,27111918,1,0,0,1,0,0,0,0,0,0,0,0,17.115484
bengal,khulna,61014,1911,29520246.14599609,825400,23851916,1,0,0,1,0,0,0,0,0,0,0,0,16.987375
bengal,khulna,61014,1912,40221594.09643555,850800,23505466,1,0,0,1,0,0,0,0,0,0,0,0,16.972744
bengal,khulna,61014,1914,37321545.47143555,821300,19841516,1,0,0,1,0,0,0,0,0,0,0,0,16.803288
bengal,khulna,61014,1916,38566711.60168457,812600,19977150,1,0,0,1,0,0,0,0,0,0,0,0,16.810101
bengal,khulna,61014,1921,46541506.77148438,789150,22143242,1,0,0,1,0,0,0,0,0,0,0,0,16.913042
bengal,khulna,61014,1922,48481518.01464844,818900,24021542,1,0,0,1,0,0,0,0,0,0,0,0,16.994461
bengal,khulna,61014,1923,43710612.04492188,805600,22752820,1,0,0,1,0,0,0,0,0,0,0,0,16.940199
bengal,khulna,61014,1924,57350075.54882813,804900,21450914,1,0,0,1,0,0,0,0,0,0,0,0,16.881277
bengal,khulna,61014,1927,54726796.90820313,749400,18667540,1,0,0,1,0,0,0,0,0,0,0,0,16.742296
bengal,khulna,61014,1929,74532348.31835938,893100,27464932,1,0,0,1,0,0,0,0,0,0,0,0,17.12842
bengal,bakarganj,61015,1890,58823571.03759766,1262944,58823572,0,0,0,0,0,0,0,0,1,0,0,0,17.890053
bengal,bakarganj,61015,1891,49620597.1484375,1201500,54912044,0,0,0,0,0,0,0,0,1,0,0,0,17.821243
bengal,bakarganj,61015,1892,64200921.84375,1201300,54551588,0,0,0,0,0,0,0,0,1,0,0,0,17.814657
bengal,bakarganj,61015,1894,63541714.890625,1249600,52189136,0,0,0,0,0,0,0,0,1,0,0,0,17.770386
bengal,bakarganj,61015,1895,42187532.48046875,1249600,50747448,0,0,0,0,0,0,0,0,1,0,0,0,17.742373
bengal,bakarganj,61015,1896,61325380.82421875,1249600,49473004,0,0,0,0,0,0,0,0,1,0,0,0,17.716938
bengal,bakarganj,61015,1897,83029373.1796875,1546000,57243064,0,0,0,0,0,0,0,0,1,0,0,0,17.862818
bengal,bakarganj,61015,1898,52919832.6171875,1546000,52570292,0,0,0,0,0,0,0,0,1,0,0,0,17.777662
bengal,bakarganj,61015,1899,46725074.2109375,1547000,48788432,0,0,0,0,0,0,0,0,1,0,0,0,17.703003
bengal,bakarganj,61015,1901,53439312.7578125,1577000,41329572,0,0,0,0,0,0,0,0,1,0,0,0,17.537088
bengal,bakarganj,61015,1903,57527620.234375,1485500,56635216,0,0,0,0,0,0,0,0,1,0,0,0,17.852142
bengal,bakarganj,61015,1904,60802809.640625,1718000,66044124,0,0,0,0,0,0,0,0,1,0,0,0,18.005833
bengal,bakarganj,61015,1905,76090341.109375,1843500,68554368,0,0,0,0,0,0,0,0,1,0,0,0,18.043139
bengal,bakarganj,61015,1906,84933099.95346069,1372062,50704484,0,0,0,0,0,0,0,0,1,0,0,0,17.741526
bengal,bakarganj,61015,1907,103914219.1430664,1549200,52441364,0,0,0,0,0,0,0,0,1,0,0,0,17.775206
bengal,bakarganj,61015,1908,86954562.69897461,1533800,50406680,0,0,0,0,0,0,0,0,1,0,0,0,17.735634
bengal,bakarganj,61015,1909,71441526.16619873,1539411,49279868,0,0,0,0,0,0,0,0,1,0,0,0,17.713026
bengal,bakarganj,61015,1910,57283668.49639893,1513062,45436684,0,0,0,0,0,0,0,0,1,0,0,0,17.63183
bengal,bakarganj,61015,1911,74540231.76904297,1631500,59551604,0,0,0,0,0,0,0,0,1,0,0,0,17.902353
bengal,bakarganj,61015,1912,75305951.546875,1623100,50858464,0,0,0,0,0,0,0,0,1,0,0,0,17.744556
bengal,bakarganj,61015,1913,92499443.5859375,1652300,46802892,0,0,0,0,0,0,0,0,1,0,0,0,17.661455
bengal,bakarganj,61015,1914,66649475.78515625,1624900,37400740,0,0,0,0,0,0,0,0,1,0,0,0,17.437201
bengal,bakarganj,61015,1915,120352983.6015625,1686966.6,63081480,0,0,0,0,0,0,0,0,1,0,0,0,17.959938
bengal,bakarganj,61015,1916,80253019.54455566,1581785.4,43709872,0,0,0,0,0,0,0,0,1,0,0,0,17.593084
bengal,bakarganj,61015,1917,72922240.09375,1653700,58553384,0,0,0,0,0,0,0,0,1,0,0,0,17.88545
bengal,bakarganj,61015,1918,92897800.38427734,1674800,59201264,0,0,0,0,0,0,0,0,1,0,0,0,17.896454
bengal,bakarganj,61015,1919,151606461.4023438,1685800,64690384,0,0,0,0,0,0,0,0,1,0,0,0,17.985123
bengal,bakarganj,61015,1920,142394978.3515625,1734200,63123244,0,0,0,0,0,0,0,0,1,0,0,0,17.9606
bengal,bakarganj,61015,1921,110889918.515625,1666350,55793984,0,0,0,0,0,0,0,0,1,0,0,0,17.837177
bengal,bakarganj,61015,1922,111066899.515625,1652000,55482072,0,0,0,0,0,0,0,0,1,0,0,0,17.83157
bengal,bakarganj,61015,1923,93220167.375,1689300,57421964,0,0,0,0,0,0,0,0,1,0,0,0,17.865938
bengal,bakarganj,61015,1924,86611349.3125,1697000,35958116,0,0,0,0,0,0,0,0,1,0,0,0,17.397865
bengal,bakarganj,61015,1925,154348678.5234375,1696100,60533048,0,0,0,0,0,0,0,0,1,0,0,0,17.918699
bengal,bakarganj,61015,1926,111069142.4453125,1682800,48375420,0,0,0,0,0,0,0,0,1,0,0,0,17.694502
bengal,bakarganj,61015,1927,124454610.1875,1693000,50897220,0,0,0,0,0,0,0,0,1,0,0,0,17.745319
bengal,bakarganj,61015,1928,127605763.3984375,1696000,53709140,0,0,0,0,0,0,0,0,1,0,0,0,17.799093
bengal,bakarganj,61015,1929,118155247.3984375,1702100,56066984,0,0,0,0,0,0,0,0,1,0,0,0,17.842058
bengal,bakarganj,61015,1930,67460875.32177734,1709000,54307100,0,0,0,0,0,0,0,0,1,0,0,0,17.810165
bengal,noakhali,61016,1890,26396996.1328125,826153.25,26396996,0,0,1,0,0,1,0,0,0,1,0,0,17.08876
bengal,noakhali,61016,1892,29829534.609375,795500,26334064,0,0,1,0,0,1,0,0,0,1,0,0,17.086374
bengal,noakhali,61016,1893,32239675.265625,788200,26459354,0,0,1,0,0,1,0,0,0,1,0,0,17.09112
bengal,noakhali,61016,1894,27935138.6171875,795600,25302120,0,0,1,0,0,1,0,0,0,1,0,0,17.046398
bengal,noakhali,61016,1897,37998060.28125,819100,27677512,0,0,1,1,0,1,0,0,0,1,0,0,17.136131
bengal,noakhali,61016,1901,33714698.8046875,808200,26314362,0,0,1,1,0,1,0,0,0,1,0,0,17.085625
bengal,noakhali,61016,1903,27636781.1484375,896000,26169652,0,0,1,1,0,1,0,0,0,1,0,0,17.080111
bengal,noakhali,61016,1905,33478533.109375,901300,29560674,0,0,1,1,0,1,0,0,0,1,0,0,17.201956
bengal,noakhali,61016,1907,60429079.8984375,1005100,41646796,0,0,1,1,0,1,0,0,0,1,0,0,17.544735
bengal,noakhali,61016,1908,66853649.7578125,1032800,43851452,0,0,1,1,0,1,0,0,0,1,0,0,17.596319
bengal,noakhali,61016,1909,55333363.3671875,990600,40787704,0,0,1,1,0,1,0,0,0,1,0,0,17.523891
bengal,noakhali,61016,1911,48059547.515625,1123600,37144164,0,0,1,1,0,1,0,0,0,1,0,0,17.430317
bengal,noakhali,61016,1912,47106217.12988281,1138500,34408116,0,0,1,1,0,1,0,0,0,1,0,0,17.353804
bengal,noakhali,61016,1913,59946766.515625,1112500,32910012,0,0,1,1,0,1,0,0,0,1,0,0,17.309288
bengal,noakhali,61016,1914,50891813.1640625,1136400,34110888,0,0,1,1,0,1,0,0,0,1,0,0,17.345127
bengal,noakhali,61016,1915,67617022.3515625,1123000,40207876,0,0,1,1,0,1,0,0,0,1,0,0,17.509573
bengal,noakhali,61016,1916,47779100.95776367,864600,28441274,0,0,1,1,0,1,0,0,0,1,0,0,17.163351
bengal,noakhali,61016,1917,34247521.9519043,855200,27425334,0,0,1,1,0,1,0,0,0,1,0,0,17.126978
bengal,noakhali,61016,1918,44004603.12158203,857700,28551026,0,0,1,1,0,1,0,0,0,1,0,0,17.167204
bengal,noakhali,61016,1919,63965343.66015625,875900,26885456,0,0,1,1,0,1,0,0,0,1,0,0,17.107096
bengal,noakhali,61016,1921,61754523.13964844,937400,34272932,0,0,1,1,0,1,0,0,0,1,0,0,17.349867
bengal,noakhali,61016,1922,55495300.64892578,947500,29242876,0,0,1,1,0,1,0,0,0,1,0,0,17.191147
bengal,noakhali,61016,1923,56459837.62237549,963212,30257518,0,0,1,1,0,1,0,0,0,1,0,0,17.225256
bengal,noakhali,61016,1925,78521757.23602295,1004614,29832514,0,0,1,1,0,1,0,0,0,1,0,0,17.211109
bengal,noakhali,61016,1927,64189705.67041016,973600,30196046,0,0,1,1,0,1,0,0,0,1,0,0,17.223221
bengal,noakhali,61016,1928,63747299.70410156,893300,30281780,0,0,1,1,0,1,0,0,0,1,0,0,17.226057
bengal,noakhali,61016,1930,39719894.02612305,1046700,34295164,0,0,0,1,0,1,0,0,0,1,0,0,17.350515
bengal,chittagong,61017,1893,21271871.34436035,510900,21271872,0,0,1,0,0,1,0,0,0,0,1,0,16.872896
bengal,chittagong,61017,1895,17462412.74731445,510500,19609936,0,0,1,1,0,1,0,0,0,0,1,0,16.791548
bengal,chittagong,61017,1896,22818203.81079102,520500,21542344,0,0,1,1,0,1,0,0,0,0,1,0,16.88553
bengal,chittagong,61017,1897,34441381.56298828,699100,29088108,0,0,1,1,0,1,0,0,0,0,1,0,17.185841
bengal,chittagong,61017,1898,19954309.07226563,487300,19845214,0,0,1,1,0,1,0,0,0,0,1,0,16.803473
bengal,chittagong,61017,1901,22876085.11425781,573800,22445078,0,0,1,1,0,1,0,0,0,0,1,0,16.926582
bengal,chittagong,61017,1902,21051625.01367188,571900,21377512,0,0,1,1,0,1,0,0,0,0,1,0,16.87785
bengal,chittagong,61017,1903,20549086.17285156,572600,21215998,0,0,1,1,0,1,0,0,0,0,1,0,16.870266
bengal,chittagong,61017,1904,19834107.83447266,573800,22548092,0,0,1,1,0,1,0,0,0,0,1,0,16.931162
bengal,chittagong,61017,1906,28490537.99560547,579132,22470736,0,0,1,1,0,1,0,0,0,0,1,0,16.927725
bengal,chittagong,61017,1908,30653004.21337891,587506,24959670,0,0,1,1,0,1,0,0,0,0,1,0,17.032772
bengal,chittagong,61017,1909,26521598.02514648,614312,24897744,0,0,1,1,0,1,0,0,0,0,1,0,17.030289
bengal,chittagong,61017,1910,23733481.79492188,613288,23411538,0,0,1,1,0,1,0,0,0,0,1,0,16.96874
bengal,chittagong,61017,1912,32605768.13378906,665100,25530658,0,0,1,1,0,1,0,0,0,0,1,0,17.055391
bengal,chittagong,61017,1913,28380633.80029297,649100,22600638,0,0,1,1,0,1,0,0,0,0,1,0,16.933489
bengal,chittagong,61017,1915,33955733.17382813,651100,24707400,0,0,1,1,0,1,0,0,0,0,1,0,17.022614
bengal,chittagong,61017,1917,28619935.59375,652700,24181898,0,0,1,1,0,1,0,0,0,0,1,0,17.001116
bengal,chittagong,61017,1918,36582094.17773438,650800,27883612,0,0,1,1,0,1,0,0,0,0,1,0,17.143549
bengal,chittagong,61017,1919,51494158.25292969,636300,27310966,0,0,1,1,0,1,0,0,0,0,1,0,17.122799
bengal,chittagong,61017,1920,60063689.12646484,637400,30357206,0,0,1,1,0,1,0,0,0,0,1,0,17.228544
bengal,chittagong,61017,1922,53602855.6328125,644800,28540306,0,0,1,1,0,1,0,0,0,0,1,0,17.166828
bengal,chittagong,61017,1924,48298496.35253906,644300,25711854,0,0,1,1,0,1,0,0,0,0,1,0,17.062462
bengal,chittagong,61017,1925,45484187.55957031,645000,23922358,0,0,1,1,0,1,0,0,0,0,1,0,16.990324
bengal,chittagong,61017,1926,45665296.87402344,645200,26168418,0,0,1,1,0,1,0,0,0,0,1,0,17.080065
bengal,chittagong,61017,1928,39212632.06884766,658400,24724476,0,0,1,1,0,1,0,0,0,0,1,0,17.023304
bengal,chittagong,61017,1930,35357155.61669922,662600,28067876,0,0,0,1,0,1,0,0,0,0,1,0,17.150137
bengal,chittagong hill tracts,61018,1892,853831.6069335938,26100,853831.63,0,1,0,0,0,1,0,0,0,0,1,0,13.657489
bengal,chittagong hill tracts,61018,1893,960549.7927246094,31566.666,959053.13,0,1,0,0,0,1,0,0,0,0,1,0,13.773702
bengal,chittagong hill tracts,61018,1894,1062751.078613281,37633.332,1097760.9,0,1,0,0,0,1,0,0,0,0,1,0,13.908783
bengal,chittagong hill tracts,61018,1906,4369619.858398438,110433.34,3260999,0,1,0,0,0,1,0,0,0,0,1,0,14.997544
bengal,chittagong hill tracts,61018,1907,5183284.315429688,116577,3920112,0,1,0,0,0,1,0,0,0,0,1,0,15.181631
bengal,chittagong hill tracts,61018,1908,5479514.093261719,130077,4215937.5,0,1,0,0,0,1,0,0,0,0,1,0,15.254382
bengal,chittagong hill tracts,61018,1909,5129414.3515625,133077,4558207,0,1,0,0,0,1,0,0,0,0,1,0,15.33244
bengal,chittagong hill tracts,61018,1910,4820476.610351563,133579,4574403.5,0,1,0,0,0,1,0,0,0,0,1,0,15.335987
bengal,chittagong hill tracts,61018,1911,4421634.92578125,133700,3847083,0,1,0,0,0,1,0,0,0,0,1,0,15.162826
